,ndoi,smscg,tide
2/27/1924,11985.76749,1,5.325099945
2/28/1924,11863.78033,1,5.611999989
2/29/1924,11737.81928,1,5.999700069
3/1/1924,11608.6575,1,6.322899818
3/2/1924,11477.06818,1,6.567699909
3/3/1924,11343.82448,1,6.608300209
3/4/1924,11209.69958,1,6.420700073
3/5/1924,11075.46665,1,6.041699886
3/6/1924,10941.89887,1,5.460800171
3/7/1924,10809.7694,1,4.687600136
3/8/1924,10679.85142,1,4.303600311
3/9/1924,10552.91811,1,4.186299801
3/10/1924,10429.74263,1,4.067500114
3/11/1924,10311.09816,1,3.913599968
3/12/1924,10197.75788,1,3.745900154
3/13/1924,10090.49495,1,3.779799938
3/14/1924,9990.082546,1,3.970099926
3/15/1924,9897.293846,1,4.299600124
3/16/1924,9812.028835,1,4.782600403
3/17/1924,9729.487758,1,5.289000034
3/18/1924,9648.7175,1,5.62899971
3/19/1924,9569.601041,1,5.864500046
3/20/1924,9492.02136,1,5.778699875
3/21/1924,9415.861438,1,5.512700081
3/22/1924,9341.004253,1,5.512899876
3/23/1924,9267.332786,1,5.854599953
3/24/1924,9194.730015,1,6.023499966
3/25/1924,9123.07892,1,6.04640007
3/26/1924,9052.262482,1,5.894000053
3/27/1924,8982.163679,1,5.682299614
3/28/1924,8912.665491,1,5.507899761
3/29/1924,8843.650898,1,5.416199684
3/30/1924,8775.002879,1,5.394899845
3/31/1924,8706.604414,1,5.383100033
4/1/1924,8638.338482,1,5.199300289
4/2/1924,8570.088064,1,5.129600048
4/3/1924,8501.736137,1,4.784800053
4/4/1924,8433.165683,1,4.920399666
4/5/1924,8364.25968,1,5.01279974
4/6/1924,8294.901109,1,4.910999775
4/7/1924,8224.972948,1,5.008500099
4/8/1924,8154.358178,1,4.809999943
4/9/1924,8082.939778,1,4.524800301
4/10/1924,8010.600727,1,4.182299614
4/11/1924,7937.224005,1,3.96750021
4/12/1924,7862.692592,1,3.873999834
4/13/1924,7786.889467,1,3.9781003
4/14/1924,7709.69761,1,4.268599987
4/15/1924,7631,1,4.725699902
4/16/1924,7549.701098,1,5.041499615
4/17/1924,7464.993512,1,5.227799892
4/18/1924,7377.192439,1,5.806399822
4/19/1924,7286.613077,1,6.517399788
4/20/1924,7193.570625,1,7.047200203
4/21/1924,7098.380282,1,7.015299797
4/22/1924,7001.357246,1,7.267000198
4/23/1924,6902.816715,1,6.911200047
4/24/1924,6803.073887,1,6.338000298
4/25/1924,6702.443961,1,5.680699825
4/26/1924,6601.242135,1,5.139200211
4/27/1924,6499.783608,1,5.105800152
4/28/1924,6398.383578,1,4.997399807
4/29/1924,6297.357243,1,4.959100246
4/30/1924,6197.019801,1,4.802599907
5/1/1924,6097.686452,1,5.076200008
5/2/1924,5999.672392,1,5.359600067
5/3/1924,5903.292822,1,5.638200283
5/4/1924,5808.862938,1,5.657999992
5/5/1924,5716.69794,1,5.731499672
5/6/1924,5627.113026,1,5.49420023
5/7/1924,5540.423393,1,5.460900307
5/8/1924,5456.944241,1,5.21750021
5/9/1924,5376.990768,1,4.838300228
5/10/1924,5300.878172,1,4.428600311
5/11/1924,5228.921652,1,4.177700043
5/12/1924,5161.436405,1,4.358299732
5/13/1924,5098.737631,1,4.535399914
5/14/1924,5041.140527,1,4.784500122
5/15/1924,4988.960292,1,5.033800125
5/16/1924,4941.755253,1,5.971099854
5/17/1924,4895.221859,1,7.003000259
5/18/1924,4848.720322,1,7.699399948
5/19/1924,4802.359113,1,8.024299622
5/20/1924,4756.2467,1,8.072299957
5/21/1924,4710.491556,1,7.925799847
5/22/1924,4665.202149,1,7.495899677
5/23/1924,4620.48695,1,6.67689991
5/24/1924,4576.454429,1,5.719399929
